1,1,1,"Though Lori L. and Yan T. will be apt not to believe me, I only checked in here by accident while looking for directions to this location; I am a woman and, therefore, needed a restroom at the time, STAT.I can say, however, the interior is extremely well-maintained. Dare I even say it's ""pretty""?I used the restroom, but not before I knocked, heard no answer three seconds later, entered, and two gentleman were in said bathroom. One was leaving while zipping up his pants. He very matter of factly informed me that his friend was on the way out, but I could go in and use the toilet if I needed to.I...waited.Next time, I'll buy a small order of fries to combat my ""I used a 'customers only' bathroom without paying"" guilt. ...and that is my story. I hope you enjoyed it."
5,2,2,The 1 star is a mistake they don't deserve that. They can't never get your order right . Buns always hard and old. And they always forgetting something. I don't know why they open and customer service stinks their. I wouldn't recommend anyone to come here. Unless you homeless and have no other choice BUT TO EAT !!! NASTY NASTY NASTY please CLOSE DOWN NOW !!!close down.
6,2,2,With out a doubt the worst run Mackers Iv ever been to. No one cares and the people who look/act like managers are as useless as the rest. They seem almost proud of their lack of care ! And struggle with the simplest of orders
7,1,1,"Management has changed, they are making efforts. Naomi take care of my fries real good."
9,2,2,Worst McDonald's  ever! Staff hanging around on their cell phones talking. Never again!!
3,2,2,"There is a McDonald's located on Dabney Drive in Henderson North Carolina. They are consistently horrible in their service. I was at the drive-through waiting to order on the outside lane. They processed three people through on the inside lane, at which point I decided to hell with it. This particular location has been shitty for many years. Even decades."
11,2,2,Horrible cold food and half cooked fries and it's expensive for the cold crap they sell
12,2,2,Ummm... yeaaaaah this place is just horrible these employees in here always have an attitude why the hell are you having an attitude working here? Just QUIT!!! I never understand why people come to work like that and have a bad day on you everyday I just don't get it. A NEW STAFF IS NEEDED!
13,2,2,"Oh what a pity. I mean, I should be lucky to have a McDonald's just a block away from where I live. Lots of memories as a child going to this happy place. Too bad memories fade especially when you have a McDonald's like this. First off, I give it 2 stars all based on the  food. I've never had a problem in the 6 or so years it's been open with the food here. It's just the little annoyances around the food that irk at my core. This place attracts sick people. Literally. The hospital is down the block and there's also a methodone clinic close by. Having this patient action around can lead to pathogens on tables and chairs and counters. Not to mention the nodding out that happens in the a.m. This McDonald's is also close to a train station and so it attracts many people to and from work. Mornings are the worst here. Long lines with 1 or 2 registers open. Unwelcoming. People taking your order but fulfilling it at different times. Still frozen hash brown. Nodding individuals. What they should have is a Coffee Only line. Take note. Not to mention the LOUD screeching/scratching of their chairs getting pulled out from under tables. The noise is almost deafening and the worst to endure at 7, 8, 9 a.m. or anytime of day really. Then you have to deal with the lingering of middle schoolers and the lunch breaks of neighboring employees. Even longer lines with still just 2 registers open. And later in the evening expect more chaos with kids who won't go home after school, who stick around and curse and laugh up a storm. As well as the Chinatown crowd who is still in shock over the closing of the Canal Street's location. Be prepared for possible panhadlers here as well. They all come here. The bathrooms are well-maintained here though. A certain lady has been doing it for years but since I live relatively close, I'd stick to my own. What this place needs is an enema. An intervention of the Gods to sift, cease, and refine. Again, the food here is great. It's McDonald's, you know what to expect. But this location has put it's ambiance on the back burner and that's not the McDonald's that I want to continue to know. Good Luck!"
14,2,2,"When this McDonalds first opened it was clean and always packed with customers. Tonight I was in there and ordered a filet-o-fish meal which cost me over $8 and by the time I got home (literally down the block) my food was cold. Not only that, I put it in my toaster oven to heat it up a little and the cheese didn't even melt!  not to mention the fish was hard. There were 3 employees plus the Mgr..who was the one prepping the food. Service was slow and they skipped my order 3 times. Health department needs to pay a visit and even after that..SHUT IT DOWN!!!! In the morning/afternoon hours this place is filled with addicts. Some eating some just hanging out. I've said it before but this time I mean it. I'll never order or eat food from here again...."
