1,2,3,"Came in here only because I had a business call to take and needed some quiet space. Since the little one was with me, I went on ahead and ordered a kid's meal which consisted of a personal pan pizza and a drink. The cashier was nice. The place was clean. Ample seating downstairs and for the location being in Midtown it wasn't too crowded. Now I can imagine why lol.The pizza...well, I grew up eating Pizza Hut and was pretty disappointed. I thought it was pretty funny that I was longing for the 2 Bros dollar pizza in Chelsea. Eating this Pizza Hut pizza just made me hungrier. How is that even possible lol?!"
3,1,1,I haven't even tried the food yet but Quantel made my whole night so much better by her sheer kindness and passion for humanity. She is truly an incredible employee and she helped turn my whole night around when another older employee had told me to leave. Thank you Quantel
6,2,2,"The worst things about this KFC are the prices, and the rude sales associates/cashiers. You can pay $9 for a two piece grilled combo! This is without a drink. Add a drink, and it brings your total to about $11.25. For this price, you can just walk a couple steps over and eat at the Applebee's next door, where instead of taking a tray of food from a rude teenage cashier, you can at least have the rude teenager bring the food to you.The Pizza Hut isn't much better. The prices are outrageous, and the pizzas have either been sitting out for a long time, or poorly cooked, or both (I KNOW!). It's okay, because my red hot anger usually melts the cheese on top just fine.My friend and I jokingly refer to this KFC as 'The Dungeon', because the main seating area is located underground(no windows). We also call it The Dungeon because it's absolutely a disgusting place to have to sit and enjoy a meal. They recently renovated the area, but it still has a sour smell. Since there are no windows, there is no ventilation, and the smell of sour mop usually permeates the whole space.  It smells like a porn shop (sperm and ammonia)...not that I know what that smells like, it's just what I've heard.The seating is cramped and uncomfortable. You may literally be sitting right next to that loud group of Spanish tourists who just won't shut the (expletive) up!  Cayate por favor! But yes, the seats are too close together.Many of the tables are wobbly and many broken underneath. Overall not a great space to eat.Overall this is a place you go only if you are desperate and don't have time to walk somewhere else. It's really expensive, so you may have to choose between that movie and a two piece box meal. Bon Apetit!"
7,2,2,"My friends and I were recently talking about the worst pizza you can get in NY, and Pizza Hut came up. Since we are dumb, we decided to come here and give it a shot to see if it is truly the worst pizza in all the land. It is. The worst part? A plain pie costs about $18 for a size that is nearly half of what you can buy at a hole-in-the-wall place (for a whole lot cheaper, too). The crust has a faint taste of freezer burn, making me wonder how long these things were frozen before being heated up again. And this location is so dirty that I'm confident there are 100s of rat and cockroach residents in the basement.Awful. Just.... don't. I'm ashamed of myself."
8,2,2,"Wanted to try the Boneless (I ATE The Bones!!!) type chicken as I'm an Avid KFC, KGC & you name it, most of my life, but this was another ridiculously bad experience at THIS location!!!My GF hesitated to eat any of it because she couldn't even tell if the White Meat was really white meat (she doesn't like dark meat chicken) and I agreed.  We cut a piece in half and then dissected it because it still  had sections that looked exactly like the DARK meat chicken that I love.. I was thankful cuz ""there's more for me"" until I started eating...It's like they added twice the seasoning & salt to the mix.  Very peppery/spicy but that was ""bearable"" until I realized how salty it was, too.  I could not satiate my thirst, woke up in the middle of the night HUGELY parched and got up to drink a HUGE glass of water when I got up.The service is usually bad, but this occasion made it ALL BAD.  Not a worthwhile experience at all.Wish I could give it a ZERO!"
9,2,2,"This is definitely the worst Pizza Hut ever.  I am really surprised that the Pizza Hut  Corporation has not intervene with this location especially since it is in such a heavily tourism area.I went to this particular location twice.  Two years apart and neither time was I able to eat my meal   Don't get me wrong, I love love love Pizza Hut.The last time I went to this particular Pizza Hut, I just ordered a Diet coke  and an order of bread sticks.  The breadsticks were very hard that I could not even bite it.  The first breadsticks literally made a snapping sound when I. broke it.I tried to eat the breadsticks.  I dunked the bread stick into the sauce that they gave me.  I thought the sauce was nice and warm, maybe I can try to eat these.  Well  I couldn't    The breadsticks were really hard as rocks.I took my order up to the cashier.  I apologized for being a pest.  I explained what was wrong with my order.  The cashier was nice and took them.  She told me to wait a minute.  She gave me what I thought was a new order. I sat down with my warm breadsticks.  Pulled one out.  It was broken. It was the same breadsticks.  They were warm BUT they were harder then rocks.  I made a joke and took out a unbroken breadstick and was more or less playing the drums off the table So, I threw the breadsticks away and left.Also this location is not really that clean.  Again I don't understand how the corporate allows this to go on   I understand that this location may be a franchise (but I don't know), but this location is giving the Pizza Hut a bad name"
11,1,1,"Stopped by to redeem a birthday treat. Ordered the cinnamon sticks online, & headed over. Staff was nice, a short wait, & I was out the door. My only complaint was that the place could use a renovation. Was pleasantly surprized at how good the sticks were. There were 10 pieces per order. Light & fluffy, inside, crispy, outside, with cinnamon on top. The dipping sauce was addictive, & sweet. I'd actually be inclined to order this again."
10,2,2,This KFC has very poor sanitation. The garbage areas are filthy and unkept. They are overflowing and spilling with so much waste left by the customers here and the workers don't do anything about it.
12,2,3,Over 90 minutes for an order (45 minutes late) with an order delivered by doordash. Understandably it's not the restaurants fault but nobody would take responsibility after delivery charge and gratuity. Rethink your purchase and buy local.
13,2,2,The snow fell and stopped but they did not shovel all of it and it's cause walking traffic and possible falls by the heavy traffic in front of bus stop...
15,2,2,The absolute worst service ever I don't really know why I make the mistake and order from this place. One time my order came wrong and I had to wait 45 mins for them to come back and deliver my right order and this time I ordered online and put specially for delivery at 7:45pm and it's 8:30 AND I'm fasting and I canceled the order because it's not here yet. The girl who picked up was extremely rude. This deserved ZERO stars I'm ashamed to even give you guys one star. Never again!!!!
14,2,2,Ordered for pickup... still had to wait over 15 min!  Why? Very slow service...go buy pizza elsewhere!
16,1,1,Before I used to order dominoes but now I order pizza hut and it's worth it they're pizza is the best the cheese is delicious and I recommend renember god loves you
17,2,2,"It was the night before Christmas... we called this Pizza Hut location and a lady picked up and said ""Hi, this is Pizza Hut, we are closed right now. HOW CAN I HELP YOU?"" Lmao what?? If you're closed why would you ask a dumb question like that... and my high school cousin was flustered and didn't know how to respond because of the dumb question asked by the lady working, so my cousin asked when are you opened? Which was wrong on my cousin's part but the lady responded aggressively saying ""WE ARE CLOSED"" and continued to say ""how about I get your number and call you continuously throughout the night and bother you."" I don't know who she is but she was extremely rude and aggressive. So unnecessary. This happened at 8:30pm on December 24th, 2020. So whomever was working at that time needs an attitude check and get a different job that doesn't require working with people. No need to be rude and please think before you ask ""how can I help you"" if you're closed. Not going to order pizza from this location ever again."
18,2,2,Worst pizza possible. Rather get little Cesars pizza than this garbage. And so expensive. These people don't care about the pizza lol
19,2,2,Became very ill after consuming the pizza from here. Be warned. I'm can not pinpoint the exact ingredient that made me ill but everyone that ate it got the stomach bug.
20,2,2,"Burned my pizza! Service is very slow as well, workers have no idea what is going on. You'll get better service at dominos."
21,2,3,"Pizza is decent, pretty much what pizza hut pizza should taste like. Pizza hut has gotten cheaper over the years (competition Im guessing) Personal pan pizzas are now served in paper thin white boxes with little to no writing on then, not this particular restaurants fault of course just thought I would mention: p Dirty people walk in to only use the bathroomPlace is filthy.Bathroom is filthyThe outside is filthyGhetto Colombian manager 15 year old in charge....Employees standing aroundTo many employees for a Saturday afternoon it seems Only reason I gave it 2 stars is because it served it's purpose, Went in, bought my pizza, ate it and walked out."
4,1,3,"Of course there are better places to get pizza in NYC -- duh! But since I grew up on Pizza Hut, I get a craving for it now and then. And as this spot is close to my job, I've no problem stopping by for a pie. Now, is this place ridiculously expensive? Of course it is. It's a stone's throw away from Times Square. Is the staff rude? Nope. Not all all. Is this place dirty? Given its location, I'd say no. Look, when I come here, I know what I'm getting into. And I ain't about to complain."
23,2,3,"Pizza has gotten pretty expensive these days.  My local corner pizza parlor just raised their prices to $2.50 a slice and $16.75 a pie.  I decided to try Pizza Hut today because there was a 50% off deal on any medium or large pie for signing up with their Hut Lover's promotion.  It wasn't very good....My family used to eat at Pizza Hut restaurants with formal dining rooms all the time.  I remember it being good and was looking forward to trying their pizza today.  I bought a Super Supreme for a mere $8 before tax when it's normally $16.  It was definitely a good promotion to give them a try again....The pizza looked good and the flavors from the initial bite were quite TASTY.  But then you realize that the crust has the consistency of wet raw dough as it sloshes in your mouth.  It shouldn't be surprising though because the crust isn't even crusty as it's just a floppy limp mess.  Learn from my mistakes and skip Pizza Hut as it's not worth it even at 50% off.  Having said that, I'm not giving the green light on Domino's or Papa John's either.  Chain delivery pizza is just disgusting.  But I must admit that the Sbarro chain pizza isn't bad.  They have a special right now which is 2 pies for $20.  If you're looking to score a deal, that would be your best bet.  I think you might be able to get 1 pie for $10 on Tuesdays.  Check it out as that's what I plan to do...."
24,3,3,"Definitely not a pleasant place to eat in because it's so shabby and worn down, on the outside and inside. Also sometimes a drunk guy inside almost falling asleep.Pizza is good enough for takeout occasionally, especially for deep dish and personal pan pizzas."
25,2,2,"This is the Pizza Hut to avoid.Staff are young and unprofessional!  Asked one of the girls if she could wipe off the table, came over with attitude and wiped off the table with a dirty rag. Really?Pizza Hut pizza is really horrible anyways, Idk why as a New Yorker I would even stop by Pizza Hut...maybe I really enjoy the stuffed crust business.Filthy spot.  Smells like dirty mop, bathrooms forget about it.  Amazingly the only person really working is an older hispanic lady who cleans!  I question the A grade that they received."
26,2,2,"I love Pizza Hut deep dish pizza, but delivery from this place just isn't worth it. I'm a couple blocks away and put in an order at 3:00 p.m. on a Wednesday, yet it took close to two hours to receive a lukewarm pie that had clearly been sitting around for a while and seemed ""overdone"" as if it had been reheated. My understanding is that PH has switched gears and started running take-out deals to encourage walk-ins, while delivery customers wind up getting the shorter end of the stick. There's also an inexcusable four-friggin-dollar ""delivery fee"" independent of tip. Given that I tip a minimum of four bucks (usually more if you're coming from far away or the weather is bad) something like a third of the order price for a pie is just additional fees. That's simply unjustifiable for an ""assembly line"" pizza. The first time I ordered, I gave the young woman a fiver for a tip because I know it's not her fault, but this time I begrudgingly handed her two bucks and then felt like a miser afterwards while I ate my crappy pizza. I'm done with this place."
27,1,1,"Regardless what other ppl were saying about this place, I found this place offers amazingly good pizza which I even couldn't get in the city, not to mention about the little price I'm paying for a personal pie for just less than 6 bucks with two tops! I love this place."
28,2,2,"The pizza was okay, not the best. Very greasy and soggy. I don't know who hired the employees they do not know anything about customer service. Every single employee there that day had a terrible attitude and extremely rude. They do not greet you to begin with and have an attitude when being asked a simple question. They clearly hate their job. The place is also very dirty with about only 4 tables that they do not clean. The bathroom ? It's not a Pizza Hut bathroom it is a public bathroom !"
30,2,2,Made me vomit!!!!! Sooooooo gross! Not good pizza not good service bad location!!!! Forget this place it's horrible!!!
