"1|3|My rating still stands b/c the service even at limited capacity is super slow. However the host who greets you he is super nice and friendly. Our server is cool, but just doesn't seem happy to be at work, it's like he's here he present but you can't tell he would rather be elsewhere. The bread is usually warm but it came out cold, I asked for warm bread and I was told I have to wait for it to come out of the oven, I said that's fine, but have been waiting on it for a min now, so don't know if he forgot or what. Finally i had to ask another server for the bread. Then a few mins later our actual server came and was about to take my new bread and I had to stop him to say no that's new bread someone else brought me... As far as what I ordered was the buffalo cauliflower and brussel sprouts. However the brussel sprouts i feel were just a tad bit over cooked/roasted.Other than that everything was cool, just that the service was slow for it to be only at 35% capacity due to Covid."
"2|3|I love the Cheesecake Factory, I was so happy when they opened a location in Queens closer to home. I've dined at this location a couple of timespre-covid, service was terrible. Extremely slow! Not up to par with the Long Island location.Recently I ordered take out, and the experience was much better, food was packaged nicely. I would recommend for take out, if you want to dine in go to Westbury"
"3|1|This review is specifically for the cheesecake. So we decided on cheesecake for Thanksgiving dessert. The Dulce de Leche. (Caramel) cheesecake was delicious. I ordered two days prior. Its pricey but worth it for the quality and cheesecake lovers. When I went to pick it up, the restaurant was enforcing social distancing and masks. At minimum you must order two days prior. Must be kept frozen until about two hours prior to eating."
"4|2|This review has nothing to do with food. Food is amazing and order from her often. However I called at approximately 8:43 pm and they stated that there was an hour wait. I arrived at the restaurant at 9:00 am and was immediately told they closed down dining for the night. Fast forward 7 Minutes later, Andrew - who I assume is one of the mangers- allowed someone to be place on the list. This is unfair to customers who were just turned away from dining. They need to be more consistent with their practices."
"5|1|Not to be compared to Willy Wonka and the Chocolate Factory, or C&C Music Factory, or a Wedding Factory.Hot dang, this is all about the cheesecake! Get them all in my belly.I've never met a cheesecake here I didn't like. Oh, and their salads are like climbing a small mountain. The menu is like an encyclopedia of delicious. Carb counting? LMAO! Just open wide and enjoy the ride!"
"6|2|Update * I was told to contact Cheesecake Factory and never got a response I received an extremely extremely RAW steak here. Like omggggg. they made me a new one, but I didn't even feel satisfied with just a new meal. I should of gotten a free something for what I went through. My friends all finished there meals and then I got mine, ruined the whole night. The new steak didn't even taste good because it was rushed, wasn't seasoned at all. And I'm honestly not picky with steak. It didn't taste like my friends steak. The corn and mashed potatoes weren't even good. The corn had red peppers in it.  Just extremely disappointed.  I don't feel like they handled the raw meat Situation well either. The Cheesecake was good thought. They should just stick to being a dessert place."
7|1|First off JAZ was a great waiter. He did a wonderful job. He was insightful with the recommendations and knowledge of different foods and drinks that would please us and I loved that. The shrimp bistro was really good actually better than what I ordered and I would recommend that dish. Yes it was a Tuesday and it wasn't crowded but we were seated right away. And they did do temperature checks before we were seated. I would definitely visit this location again.
"8|2|The shepherds pie was drenched in Grease, I ordered two crab artichokes dip. And the cook was undercooked it taste like tuna!!!! Here we go again because I do like to venture into the cheesecake factory for my favorite crab artichoke dip. The problem with this particular franchise is that they seem to hire mediocre sous chefs. And the manager Andrew got  personal cause the crab dip was undercooked... it is not my first rodeo I tried to educate the manager Andrew because I understand it is his job but I've been going to the cheesecake factory for decades. I am very familiar with their menu. And he actually sat there and try to teach me. Ha ha funny!!! I hate to shit on places but if you love the cheesecake factory please don't go to that location because you're not gonna win with the mediocre staff that they hired that does not know their sheer history on excellent yummy food. It seems that sometimes these places just seem to follow the instructions instead of tasting their foods. And correcting it!!! I just simply wanted to return the food so he can taste both tuna dishes although he said it was crab. Take it from somebody that Is familiarized with menu and dishes!!! how do I know that the dish was under cook because I to cook.  It is not the first time that it's happened I've encountered this problem in another location and it was fixed. The manager tasted it and when you don't cook it correctly it does taste like tuna!!!!! So please Andrew my advice to you as a manager honestly is stop being so defensive and start tasting the food. Stop educating people about things that you don't even know how it taste.I took two bites out a way to make sure that I was tasting it correctly, had my daughter tasted which we ordered from door Dash but it's not door dash is issues because they didn't cook the food. So Andrew next time a customer is calling you letting you know that they know the menu better than you do although you work there now , how long have you been working there. Venture outside your store and try other cheesecake factories and try these dishes and you'll see that you guys in your location aren't making it right and if you're satisfied with crab that taste like tuna. Then go and work on the subways. But I know I didn't place an order for tuna!!! Again understand I love the cheesecake factory and although this venture turned out horrible it will be my last visit not to this location! And I'm definitely placing an order over the phone when the staff is sure that they are feeding their customers near mediocre shitty food. Thank you very much Andrew for your help you weren't much use. Stop being defensive and listen to your customer when somebody's telling you that taste like tuna and they placed two orders in your charging $30 I am not paying $30 fucking tuna and mayo."
"9|3|We did an order via DoorDash and it arrived before the estimated pick up time. When we were there, the staff ignored our inquiries about how and where to get my orders. After a 15-minute wait in the middle of restaurant without any idea of what I should do, there was finally a waiter asking our names on the order and helping me pick up. The food was decent with no surprise and was packed properly. Our favorite was stuffed mushroom which was well grilled and the sauce was addictive. As our expectation, food from Cheesecake Factory would not let you down but they definitely need to improve their service."
10|2|First of all I just want to say I'm appalled at the prices and portion. I ordered through door dash and I know they charge extra because of the fees. That's not the problem. I ordered string beans which was $6.95 and kid's chicken tenders both for my kid. The portion was not even a 1/3 filled up and the chicken tenders were so tiny and just really sad I had to order more food for my kid. You can see the portions in the pictures I provided. To make in even worse the bag was not sealed all they way. There was plenty of space in the middle of the bag for the dasher to take food. That is a major red flag during COVID. I am never gonna order from here ever again!
