"1|The location Hilton awesome . If enjoy run outdoors , block walking bike path run along Hudson River beautiful/safe place exercise . I love alternative onsite gym full . They also within quick walk ton great restaurant Tribeca , China Town , Soho , well bunch subway stop take far away . My room clean spacious , bathroom also nice size . The thing I would say hotel breakfast less great . It leave lot imagine , cover basic ( oatmeal , yogurt , fruit , egg , bacon , potato , bread ) ."
"2|I sit lobby stay last night , wait partner get car.We decide stay NYC since meet someone celebrate birthday . We need nice hotel share dinner ( take-out ) , dessert celebratory drink . Really thing need nice place sleep shower.The hotel nice . The room nice - spacious expect NYC . There mini fridge microwave . Unfortunately , 's `` nice `` ends.We warn check due low occupancy rate , take `` `` water get hot.After let sink water run 5 minute , still luke warm . When I call guest service , tell run 10-15 minute hot water . I tell run barely luke warm . We try get frustrate turn off.We pretty much give last night try wash hand anything even close hot water . Hey - 's damn pandemic go . Soap hot water would nice.So morning turn shower 1/2 hour want shower leave.Luke warm . I call offer send person see hot water . Too late . We get ready leave . They know yesterday luke warm . We could even shower leave . I even begin imagine much water waste hotel . It 's disgust . I wonder corporate know this.We expect Hilton name . ( Now know ask bar soap shower last night . They give us one sink . No one shower luke warm water ... lol ) Also want note heating unit EXTREMELY LOUD . I exaggerate . Sleep easy . The street noise Manhattan would quiet heating unit !"
3|We stay 8/15/19 8/19/19 Hotel clean . Rooms typical low price City property mean small . The staff always friendly help request . This hotel literally sit top subway A C E train . You get anywhere city quickly . It take trip figure thing . We start use Uber never wait 2 minute car . The restaurant attach hotel great happy hour I highly recommend shrimp app . Loved sauce . I would definitely stay next trip NYC .
"4|If look spacious room central location , choose Hilton Garden Inn locate right next Canal Street . This hotel literally 10-15 minute everywhere Manhattan . I absolutely love stay moment I check time I leave checked-out . The hotel room huge New York City standard amenity would expect , include mini fridge I find hard find NYC hotel room . There window large allow get perfect amount sunshine long day . The bed super comfortable . The bathroom efficient bath tub look soak away stress . More importantly , hotel near fabulous restaurant NYC . If runner like , pleased lot place run near . I able run along water way Wall Street . Overall , hotel excellent , clean , spacious , friendly staff want ensure stay awesome . They even send texts see want recommendation anything ! I love touch ."
"5|Nice enough property locate heart SoHo . That say 's within walk distance everything 'll love Tribeca . Parks , museum , boutique , high-end shop , vintage store , restaurant , market , bakery , pizza joint , bar , bodega , coffee cafe , name ! There 's restaurant locate first floor hotel , gym low level along business center printing , computer , work need refreshing water entrance . Rooms decent . Equipped coffee , frig toiletry . Requesting fresh towel & working iron take gigantic roach first floor I wait elevator . I immediately advise front desk gentleman apologize . I however gross . Completed stay wo n't first choice rebooking future . ~Christy"
"6|Booked penthouse suite I want extra space friend could drop visit . Check-in fast friendly . Arlene front desk helpful . I request couple fold chair room staff accommodate . We enjoy stay . As long familiar HGI brand fine . Last least , street parking issue Saturday night & day Sunday . Subway across street location near Holland Tunnel . Comfortable & quiet stay ."
"7|Cyndy 's Bottom Line : No frill , clean , convenient location . * Great location easy get around . * Easy access subway * Water pressure good water get really HOT quick . * Decent size spartan room NY standard . * Price point - get pay . * Slow elevator - patient . * Friendly & attentive service . * Great service Teddy Bear entire staff ."
"8|Like hotel NY City , place cheap . It bit far ( relatively ) action . There eatery around good walk away Greenwich Village Chinatown . The good thing 's close proximity E train ( subway ) . The room bed okay I 've problem thus far . I like eKey digital check ( I n't need go front desk ) . It hotel room good rest 14 hour day nothing really special ."
"9|This hotel whole lot well review would lead believe . I pass Hilton Garden Inn dozens time , year go , without give second look . It locate preferred area New York . Since 1990 , I stay downtown ; Soho , Tribeca , Battery Park , The Village , Nolita , The East Village , Lower East Side option . You wo n't see midtown . Ai n't go happen . In past I stay Soho Grand , Tribeca Grand ( The Roxy ) The Smyth , The James , The Thompson , Hampton Inn Watts , The Trump Soho , Duane Street Hotel , The Conrad , etc . Yes , I stay lot hotel year . Hotel price hotel tax New York go exponentially . The pricing ridiculous . The Hilton Garden Inn Tribeca fantastic safe location , walk distance Village , Soho , Little Italy , Chinatown , East Village etc . The day time personnel great , beware weekly , night time staff . They surly . Rooms small , clean good water pressure , excellent AC , room quiet . Bathrooms also tiny , everything work . When Tribeca Hilton Garden Inn $ 60 per night cheap hotel area , irresistible . Just think buy , great meal money save . This # 1 go hotel future trip New York . Hopefully , I 'll save ton dough ."
"10|I usually stay far uptown visit Manhattan decide give TriBeCa try . While I love area , hotel n't measure . Firstly , I open door room , stale air almost make turn around leave . It smell like fresh n't reach room quite . Since I get midnight , find another hotel option I decide make best . I first check bed . The box spring cover yellowed version use white . The mattress thin cotton sheet wrinkled . I sleep top cover clothing still leave next day . In bathroom , tissue box seem old tissue stuff back inside . There many nice boutique hotel close . Do favor stay one ."
